"datetime","ipsrc","ipdst","dstport","proto","action","policyid"
"2023-03-06 23:21:39","192.168.1.21","192.168.1.47","80","TCP","Permit","4"
"2023-03-06 23:21:39","192.168.1.21","192.168.1.47","80","TCP","Permit","4"
"2023-03-06 23:21:39","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:39","192.168.1.21","192.168.1.47","80","TCP","Permit","4"
"2023-03-06 23:21:44","192.168.1.21","192.168.1.47","80","TCP","Permit","4"
"2023-03-06 23:21:44","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:44","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:45","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:45","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:54","192.168.1.21","192.168.1.47","80","TCP","Permit","4"
"2023-03-06 23:21:54","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:54","192.168.1.21","192.168.1.47","22","TCP","Permit","1"
"2023-03-06 23:21:54","192.168.1.21","192.168.1.47","22","TCP","Permit","1"
"2023-03-06 23:21:54","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:21:55","192.168.1.21","192.168.1.47","22","TCP","Permit","1"
"2023-03-06 23:21:55","192.168.1.21","192.168.1.47","22","TCP","Permit","1"
"2023-03-06 23:21:55","192.168.1.21","192.168.1.47","22","TCP","Permit","1"
"2023-03-06 23:22:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:10","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:25","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:41","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:41","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:41","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:41","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:41","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:56","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:56","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:56","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:56","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:22:56","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:11","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:11","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:11","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:11","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:11","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:26","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:27","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:42","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:42","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:42","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:42","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:42","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:57","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:57","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:57","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:57","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:23:57","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:12","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:12","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:12","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:12","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:12","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
"2023-03-06 23:24:27","192.168.1.21","192.168.1.47","34274","TCP","Deny","34"
